id,text
pubmedqa_521,"Rapid prescreening (RPS) is NUMERIC_1 of the quality assurance (QA) methods used in gynecologic cytology. The efficacy of RPS has been previously studied but mostly with respect to squamous lesions; in fact, there has been no study so far specifically looking at the sensitivity of RPS for detecting glandular cell abnormalities. A total of NUMERIC_1 Papanicolaou (Pap) smears underwent RPS during a TIME_1 period. A sample was designated as ""review for abnormality"" (R) if any abnormal cells (at the threshold of atypical squamous cells of undetermined significance/atypical glandular cells [AGC]) were thought to be present or was designated as negative (N) if none were detected. Each sample then underwent full screening (FS) and was designated as either R or N and also given a cytologic interpretation. The final cytologic interpretation was a glandular cell abnormality (≥AGC) in OTHER_1 samples (NUMERIC_2.OTHER_4%); OTHER_2 of these (NUMERIC_3%) were flagged as R on RPS. OTHER_3 patients (NUMERIC_4%) out of NUMERIC_5 who had histologic follow-up were found to harbor a high-grade squamous intraepithelial lesion or carcinoma; OTHER_4 of those OTHER_5 Pap smears (NUMERIC_6%) had been flagged as R on RPS. Notably, OTHER_6 AGC cases were picked up by RPS only and not by FS and represented false-negative cases; NUMERIC_7 of these showed endometrial adenocarcinoma on histologic follow-up."
pubmedqa_737,"It is generally assumed, that patients with Werlhof's disease (WD) are at increased risk for bleeding complications when undergoing cardiac surgery with extracorporeal circulation. Therefore we performed this case control study to estimate the real risk for bleeding complications of these patients. Between DATE_1 and DATE_2, NUMERIC_1 patients with WD (NUMERIC_2 males, NUMERIC_3 females) underwent cardiac surgery employing extracorporeal circulation (OTHER_12). NUMERIC_4 of these patients with platelet counts below OTHER_1 were treated by immunoglobulins preoperatively. Each patient with WD was matched to NUMERIC_4 patients without WD (no-OTHER_12) using diagnosis, age, gender, ejection fraction, number of distal anastomosis and body-mass-index as matching criteria. Mean number of platelet counts were significant lower in the OTHER_12 than in the no-OTHER_12 despite a significant increase of platelet counts after immunoglobulin treatment (NUMERIC_1/nl-->NUMERIC_2/nl, P=NUMERIC_3). On the day before, directly after and on the first day after surgery they were OTHER_2 vs. OTHER_3 (P=NUMERIC_4), OTHER_4 vs. OTHER_5 (P=NUMERIC_5) and OTHER_6 vs. OTHER_7 (P=NUMERIC_6). Accordingly, patients of the OTHER_12 received significantly more platelet concentrates than patients of the no-OTHER_12 (mean number of platelet concentrates: OTHER_8 versus OTHER_9, P=NUMERIC_7). Total drainage loss via the mediastinal chest tubes was almost identical (OTHER_10 ml in the no-OTHER_12 and OTHER_11 ml in the OTHER_12). NUMERIC_6 patient of each group suffered from a bleeding complication requiring reexploration. NUMERIC_7 patients of the no-OTHER_12 (NUMERIC_8%) and NUMERIC_6 patient of the OTHER_12 (NUMERIC_9%) expired postoperatively unrelated to WD."
pubmedqa_740,"Sublingual varices have earlier been related to ageing, smoking and cardiovascular disease. The aim of this study was to investigate whether sublingual varices are related to presence of hypertension. In an observational clinical study among OTHER_1 dental patients tongue status and blood pressure were documented. Digital photographs of the lateral borders of the tongue for grading of sublingual varices were taken, and blood pressure was measured. Those patients without previous diagnosis of hypertension and with a noted blood pressure ≥ OTHER_2 mmHg and/or ≥ OTHER_3 mmHg at the dental clinic performed complementary home blood pressure during TIME_1 week. Those with an average home blood pressure ≥ OTHER_4 mmHg and/or ≥ OTHER_5 mmHg were referred to the primary health care centre, where NUMERIC_1 office blood pressure measurements were taken with TIME_1 week intervals. NUMERIC_2 independent blinded observers studied the photographs of the tongues. Each photograph was graded as none/few (grade NUMERIC_1) or medium/severe (grade NUMERIC_2) presence of sublingual varices. Pearson's Chi-square test, Student's t-test, and multiple regression analysis were applied. Power calculation stipulated a study population of OTHER_6 patients. An association between sublingual varices and hypertension was found (OR = OTHER_7, p<NUMERIC_3). Mean systolic blood pressure was OTHER_8 and OTHER_9 mmHg in patients with grade NUMERIC_1 and grade NUMERIC_2 sublingual varices, respectively (p<NUMERIC_4, CI NUMERIC_5 %). Mean diastolic blood pressure was OTHER_10 and OTHER_11 mmHg in patients with grade NUMERIC_1 and grade NUMERIC_2 sublingual varices, respectively (p<NUMERIC_6, CI NUMERIC_5 %). Sublingual varices indicate hypertension with a positive predictive value of NUMERIC_7 and a negative predictive value of NUMERIC_1.OTHER_10."
pubmedqa_660,"Broad-based electronic ORGANIZATION_1 information exchange (OTHER_1), in which patients' clinical data follow them between care delivery settings, is expected to produce large quality gains and cost savings. Although these benefits are assumed to result from reducing redundant care, there is limited supporting empirical evidence. To evaluate whether OTHER_1 adoption is associated with decreases in repeat imaging in emergency departments (EDs).DATA SOURCE/ OTHER_2 discharge data from the OTHER_3 Emergency Department Databases for LOCATION_1 and LOCATION_2 for DATE_1 were merged with ORGANIZATION_1 Information Management Systems Society data that report hospital OTHER_1 participation. Using regression with OTHER_2 fixed effects and trends, we performed a retrospective analysis of the impact of OTHER_1 participation on repeat imaging, comparing OTHER_4 EDs that initiated OTHER_1 participation during the study period to OTHER_5 EDs that did not participate in OTHER_1 during the same period. Within NUMERIC_1 common types of imaging tests [OTHER_6 tomography (CT), ultrasound, and chest x-ray), we defined a repeat image for a given patient as the same study in the same body region performed within NUMERIC_2 days at unaffiliated EDs. In our sample there were NUMERIC_3 repeat CTs (representing OTHER_7% of those cases with CT in the index visit), NUMERIC_4 repeat ultrasounds (OTHER_8% of ultrasound cases), and NUMERIC_5 repeat chest x-rays (OTHER_9% of x-ray cases). OTHER_1 was associated with reduced probability of repeat OTHER_2 imaging in all NUMERIC_1 modalities: -OTHER_10 percentage points for CT [NUMERIC_6% confidence interval (CI): -OTHER_7, -OTHER_11], -OTHER_12 percentage points for ultrasound (NUMERIC_6% CI: -OTHER_13, -OTHER_14), and -OTHER_15 percentage points for chest x-ray (NUMERIC_6% CI: -OTHER_16, -OTHER_17), reflecting reductions of NUMERIC_7%-NUMERIC_8% relative to sample means."
pubmedqa_411,"Specialty pharmaceuticals have evolved beyond their status as niche drugs designed to treat rare conditions and are now poised to become the standard of care in a wide variety of common chronic illnesses. Due in part to the cost of these therapies, payers are increasingly demanding evidence of their value. Determining the value of these medications is hampered by a lack of robust pharmacoeconomic data. To outline emerging strategies and case study examples for the medical and pharmacy benefits management of specialty pharmaceuticals. The promise of specialty pharmaceuticals: increased life expectancy, improved quality of life, enhanced workplace productivity, decreased burden of disease, and reduced health care spending comes at a significant cost. These agents require special handling, administration, patient education, clinical support, and risk mitigation. Additionally, specialty drugs require distribution systems that ensure appropriate patient selection and data collection. With the specialty pharmaceutical pipeline overflowing with new medicines and an aging population increasingly relying on these novel treatments to treat common diseases, the challenge of managing the costs associated with these agents can be daunting. Aided by sophisticated pharmacoeconomic models to assess value, the cost impacts of these specialty drugs can be appropriately controlled."
pubmedqa_678,"The aim of the present study was to explore patients' views on the acceptability and feasibility of using colour to describe osteoarthritis (OA) pain, and whether colour could be used to communicate pain to healthcare professionals. NUMERIC_1 group interviews were conducted with OTHER_1 patients with knee OA. Discussion topics included first impressions about using colour to describe pain, whether participants could associate their pain with colour, how colours related to changes to intensity and different pain qualities, and whether they could envisage using colour to describe pain to healthcare professionals. The group interviews indicated that, although the idea of using colour was generally acceptable, it did not suit all participants as a way of describing their pain. The majority of participants chose red to describe high-intensity pain; the reasons given were because red symbolized inflammation, fire, anger and the stop signal in a traffic light system. Colours used to describe the absence of pain were chosen because of their association with positive emotional feelings, such as purity, calmness and happiness. A range of colours was chosen to represent changes in pain intensity. Aching pain was consistently identified as being associated with colours such as grey or black, whereas sharp pain was described using a wider selection of colours. The majority of participants thought that they would be able to use colour to describe their pain to healthcare professionals, although issues around the interpretability and standardization of colour were raised."
pubmedqa_626,"The aim of this study was to assess the efficacy of ureteroscopy for lower ureteric stones without the use of fluoroscopy. Between DATE_1 NUMERIC_1 and DATE_2 NUMERIC_2, a total of OTHER_1 patients with a mean age of AGE_1 years (range AGE_2) suffering from of lower ureteral calculi (below the upper margin of the sacroiliac joint) prospectively underwent ureteroscopic removal. Retrograde pyelography was avoided, and no safety guidewire was placed. Whenever required, the ureteric meatus was dilated with a ureteric balloon under direct vision. Double-J stent placement was done with the aid of ureteroscopy. A fluoroscope was kept standby. The patients had a postoperative X-ray of the kidney-ureter-bladder region to document the stone clearance. The mean stone size was OTHER_2 mm (range OTHER_3). Complete clearance without the use of fluoroscopy was achieved in OTHER_4 patients (NUMERIC_3%). Fluoroscopy was required in NUMERIC_4 patients (NUMERIC_5%) for calcified stricture (n = NUMERIC_6), duplex system (n = NUMERIC_6), narrow and tortuous meatus causing difficulty in passing the NUMERIC_7-Fr balloon dilator (n = NUMERIC_8), and confirmation of spontaneous passage of the stone (n = NUMERIC_6). Of the OTHER_5 patients who required balloon dilatation it was successfully achieved without fluoroscopy. Double-J stenting was done due to mucosal ulceration (n = NUMERIC_8), polypoid reaction (n = NUMERIC_9), and perforation (n = NUMERIC_6). All these patients had correct placement of the stent, as confirmed by X-ray of the kidney-ureter-bladder region postoperatively."
pubmedqa_513,"Neutrophil infiltration of the lung is characteristic of early posttraumatic acute respiratory distress syndrome (ARDS). This study examines the ability of neutrophils isolated (over the first TIME_1 hrs) from the peripheral blood of patients admitted after major trauma to migrate in response to interleukin-NUMERIC_1. Interleukin-NUMERIC_1 is elevated in the lung within NUMERIC_2 hrs of major trauma in patients who later develop ARDS, and thus it plays a central role in the recruitment of neutrophils to the lung and their subsequent activation. We hypothesized that enhanced interleukin-NUMERIC_1-mediated neutrophil migratory activity in the early postinjury phase, before the development of ARDS, DATE_1 be a crucial factor in the etiology of ARDS. Prospective observational study. ORGANIZATION_1 Hospital Wales, the ORGANIZATION_2 Gwent Hospital, and ORGANIZATION_3 Glamorgan General Hospital. Laboratory work was conducted at the Institute of Nephrology. Adult blunt trauma victims with Injury Severity Score>or = NUMERIC_3. Neutrophils were isolated from citrated blood from OTHER_1 adult blunt major trauma patients at admission (NUMERIC_4 hrs) and NUMERIC_1 and TIME_1 hrs later. Identical samples were obtained from normal laboratory volunteers (n = NUMERIC_5). The neutrophil count in each specimen was measured, and the number of neutrophils migrating across porous tissue culture inserts in response to defined concentrations of interleukin-NUMERIC_1 (NUMERIC_4, NUMERIC_6, OTHER_3, and OTHER_2 ng/mL) was quantitated by peroxidase assay. Neutrophil counts in the whole blood specimens obtained from those later developing ARDS were elevated significantly at admission and declined rapidly throughout the next TIME_1 hrs. Significantly greater numbers of trauma patients' neutrophils migrated to concentrations of interleukin-NUMERIC_1 (OTHER_3 and OTHER_2 ng/mL) at each time point when compared with normal volunteers (Mann-Whitney U test, p<.NUMERIC_7). Neutrophils isolated from major trauma patients exhibited an enhanced migratory response to high concentrations of interleukin-NUMERIC_1 throughout the first TIME_1 hrs of admission, in contrast to the normal physiologic attenuation of migration seen in neutrophils isolated from normal laboratory volunteers."
pubmedqa_859,"To investigate the relevance of the Symptom Checklist NUMERIC_1-R Obsessive-Compulsive subscale to cognition in individuals with brain tumor. A prospective study of patients assessed with a neuropsychological test battery. A university medical center. NUMERIC_1 adults with biopsy-confirmed diagnoses of malignant brain tumors were assessed prior to aggressive chemotherapy. Included in the assessment were the Mattis Dementia Rating Scale, OTHER_1 Verbal Learning Test, Trail Making Test B, Symptom Checklist NUMERIC_1-R, Mood Assessment Scale, Beck Anxiety Inventory, and Chronic Illness Problem Inventory. The SCL NUMERIC_1-R Obsessive-Compulsive subscale was not related to objective measures of attention, verbal memory, or age. It was related significantly to symptoms of depression (r = .NUMERIC_2, P<.NUMERIC_3), anxiety (r = .OTHER_2, P<.NUMERIC_3), and subjective complaints of memory problems (r = .NUMERIC_4, P<.NUMERIC_3). Multivariate analyses indicated that reported symptoms of depression contributed OTHER_2% of the variance in predicting SCL NUMERIC_1-R Obsessive-Compulsive Scores, whereas symptoms of anxiety contributed an additional NUMERIC_5% (P<.NUMERIC_6)."
pubmedqa_136,"Disorders of consciousness (DOC) diagnosis relies on the presence or absence of purposeful motor responsiveness, which characterizes the minimally conscious state (MCS) and the unresponsive wakefulness syndrome (UWS), respectively. Functional neuroimaging studies have raised the question of possible residual conscious awareness also in clinically-defined UWS patients. The aim of our study was to identify electrophysiological parameters, by means of a transcranial magnetic stimulation approach, which might potentially express the presence of residual networks sustaining fragmentary behavioral patterns, even when no conscious behavior can be observed. We enrolled OTHER_1 severe DOC patients, following post-anoxic or traumatic brain injury and OTHER_2 healthy individuals (HC) as control group. Baseline electrophysiological evaluation evidenced, in comparison to HC, a partial preservation of cortical effective connectivity and excitability in clinically defined MCS, whereas these components were absent in clinically defined UWS. Then, we applied an anodal transcranial direct current stimulation (a-tDCS) protocol over the orbitofrontal cortex. a-tDCS was able to boost cortical connectivity and excitability in all HC, MCS, and to unmask such excitability/connectivity in some UWS patients."
